id,material,shape,weight,brand,shop,price
58,Diamond,Brace,51,NationalBrand,DepartmentStore,1182
59,Platinum,Earrings,58,NationalBrand,BrandStore,946
60,Gold,Brace,16,NoBrand,DiscountStore,154
61,Silver,Neckless,42,NoBrand,DiscountStore,57
62,Silver,Ring,38,NoBrand,DiscountStore,57
63,Silver,Earrings,24,NationalBrand,BrandStore,149
64,Silver,Neckless,53,NationalBrand,DiscountStore,122
65,Gold,Brace,16,NationalBrand,DepartmentStore,419
66,Platinum,Ring,57,NationalBrand,DepartmentStore,870
67,Gold,Ring,51,FamouseBrand,DepartmentStore,1271
68,Platinum,Neckless,39,FamouseBrand,BrandStore,1955
69,Silver,Earrings,43,WorldTopBrand,BrandStore,702
70,Platinum,Earrings,56,FamouseBrand,DepartmentStore,1865
71,Platinum,Ring,12,WorldTopBrand,BrandStore,2422
72,Diamond,Brace,40,WorldTopBrand,BrandStore,5041
73,Diamond,Neckless,25,WorldTopBrand,DepartmentStore,3607
74,Diamond,Brace,57,WorldTopBrand,DepartmentStore,4854
75,Platinum,Neckless,16,FamouseBrand,BrandStore,1495
76,Silver,Brooch,27,NoBrand,DepartmentStore,67
77,Silver,Earrings,56,FamouseBrand,DepartmentStore,373
78,Diamond,Neckless,58,FamouseBrand,DepartmentStore,2547
79,Gold,Ring,14,WorldTopBrand,BrandStore,1736
80,Silver,Brace,13,NationalBrand,BrandStore,132
81,Platinum,Neckless,31,NationalBrand,DiscountStore,526
82,Silver,Brooch,26,NationalBrand,BrandStore,151
83,Diamond,Brace,35,NationalBrand,DepartmentStore,1066
84,Gold,Earrings,58,NationalBrand,BrandStore,631
85,Platinum,Brooch,55,NationalBrand,DiscountStore,604
86,Platinum,Brooch,49,NoBrand,DepartmentStore,400
87,Diamond,Brace,17,FamouseBrand,BrandStore,2165
88,Silver,Brace,48,WorldTopBrand,BrandStore,791
89,Silver,Neckless,48,NationalBrand,DepartmentStore,161
90,Platinum,Brooch,59,FamouseBrand,BrandStore,2138
91,Diamond,Ring,25,NoBrand,DiscountStore,341
92,Platinum,Brace,43,NationalBrand,DepartmentStore,848
93,Platinum,Ring,57,NationalBrand,BrandStore,985
94,Silver,Neckless,40,NationalBrand,BrandStore,175
95,Gold,Brooch,16,NationalBrand,DiscountStore,280
96,Gold,Brooch,22,WorldTopBrand,BrandStore,1935
97,Silver,Brace,28,NoBrand,DiscountStore,55
98,Diamond,Neckless,24,NoBrand,DepartmentStore,447
99,Silver,Brace,14,NoBrand,DepartmentStore,60
100,Silver,Earrings,52,NoBrand,DiscountStore,59
101,Platinum,Brooch,33,WorldTopBrand,DepartmentStore,2874
102,Diamond,Earrings,20,WorldTopBrand,BrandStore,3743
103,Gold,Brooch,51,WorldTopBrand,BrandStore,2445
104,Platinum,Neckless,47,NoBrand,DepartmentStore,402
105,Gold,Earrings,54,FamouseBrand,DepartmentStore,1233
106,Gold,Neckless,26,NationalBrand,BrandStore,517
107,Gold,Neckless,27,NationalBrand,DepartmentStore,463
108,Diamond,Brooch,17,NationalBrand,DepartmentStore,785
109,Silver,Brace,52,NationalBrand,DepartmentStore,178
110,Silver,Brooch,52,FamouseBrand,BrandStore,414
111,Platinum,Ring,29,WorldTopBrand,BrandStore,3306
112,Silver,Neckless,33,NationalBrand,DiscountStore,107
113,Gold,Brooch,28,NationalBrand,DepartmentStore,458
114,Diamond,Brooch,56,NoBrand,DiscountStore,404
115,Silver,Brooch,27,FamouseBrand,DepartmentStore,305
116,Silver,Ring,27,NoBrand,DiscountStore,52
117,Gold,Brooch,59,NationalBrand,BrandStore,633
118,Gold,Earrings,40,NationalBrand,DepartmentStore,506
119,Platinum,Ring,31,WorldTopBrand,BrandStore,3356
120,Gold,Brooch,21,NationalBrand,BrandStore,475
121,Silver,Earrings,41,WorldTopBrand,BrandStore,694
122,Platinum,Neckless,54,FamouseBrand,DepartmentStore,1879
123,Silver,Brace,31,FamouseBrand,BrandStore,394
124,Diamond,Earrings,25,WorldTopBrand,BrandStore,4022
125,Silver,Earrings,51,NationalBrand,DiscountStore,118
126,Platinum,Brace,19,NoBrand,DiscountStore,246
127,Platinum,Earrings,41,NationalBrand,DepartmentStore,766
128,Silver,Neckless,56,NoBrand,DepartmentStore,84
129,Diamond,Ring,33,NationalBrand,BrandStore,1139
130,Silver,Brace,37,FamouseBrand,BrandStore,415
131,Silver,Earrings,54,WorldTopBrand,BrandStore,743
132,Diamond,Earrings,20,NationalBrand,DepartmentStore,831
133,Diamond,Neckless,16,FamouseBrand,DepartmentStore,1769
134,Platinum,Brooch,32,FamouseBrand,BrandStore,1813
135,Gold,Earrings,24,NoBrand,DepartmentStore,219
136,Silver,Ring,31,WorldTopBrand,DepartmentStore,595
137,Silver,Brace,38,NoBrand,DiscountStore,60
138,Platinum,Earrings,58,WorldTopBrand,DepartmentStore,3339
139,Silver,Neckless,37,NoBrand,DiscountStore,55
140,Diamond,Ring,46,NoBrand,DiscountStore,403
141,Diamond,Neckless,34,NationalBrand,DiscountStore,725
142,Silver,Ring,58,NoBrand,DepartmentStore,87
143,Platinum,Neckless,27,FamouseBrand,BrandStore,1764
144,Gold,Earrings,37,FamouseBrand,DepartmentStore,1117
145,Gold,Brace,27,NoBrand,DepartmentStore,249
146,Platinum,Neckless,37,WorldTopBrand,BrandStore,3438
147,Silver,Brace,54,FamouseBrand,DepartmentStore,405
148,Gold,Brace,22,WorldTopBrand,BrandStore,2116
149,Diamond,Neckless,32,NoBrand,DepartmentStore,485
150,Gold,Brooch,53,FamouseBrand,DepartmentStore,1223
151,Silver,Brace,36,NationalBrand,DepartmentStore,161
152,Gold,Ring,39,NoBrand,DepartmentStore,262
153,Platinum,Ring,24,NationalBrand,DepartmentStore,684
154,Platinum,Neckless,29,WorldTopBrand,BrandStore,3219
155,Silver,Brace,47,WorldTopBrand,DepartmentStore,694
156,Platinum,Earrings,52,NationalBrand,DepartmentStore,813
157,Platinum,Neckless,17,NoBrand,DiscountStore,221
158,Platinum,Neckless,57,NationalBrand,DepartmentStore,848
159,Diamond,Earrings,29,FamouseBrand,DepartmentStore,2092
160,Platinum,Brooch,26,WorldTopBrand,DepartmentStore,2700
161,Silver,Earrings,56,NoBrand,DepartmentStore,82
162,Diamond,Brooch,20,FamouseBrand,DepartmentStore,1870
163,Platinum,Brace,15,NationalBrand,BrandStore,698
164,Platinum,Brace,31,WorldTopBrand,DepartmentStore,3101
165,Diamond,Neckless,44,NationalBrand,DiscountStore,773
166,Diamond,Brace,33,NoBrand,DepartmentStore,526
167,Silver,Earrings,19,WorldTopBrand,BrandStore,552
168,Gold,Neckless,42,NationalBrand,DiscountStore,382
169,Silver,Earrings,26,FamouseBrand,DepartmentStore,303
170,Silver,Brooch,19,FamouseBrand,DepartmentStore,275
171,Silver,Brace,41,NoBrand,DiscountStore,61
172,Gold,Ring,45,FamouseBrand,DepartmentStore,1233
173,Diamond,Neckless,40,NationalBrand,BrandStore,1168
174,Silver,Ring,57,WorldTopBrand,DepartmentStore,696
175,Silver,Neckless,52,NationalBrand,DiscountStore,121
176,Gold,Brace,50,FamouseBrand,DepartmentStore,1324
177,Diamond,Earrings,11,NationalBrand,DiscountStore,482
178,Silver,Neckless,29,WorldTopBrand,BrandStore,643
179,Gold,Brace,25,NoBrand,DiscountStore,177
180,Gold,Neckless,43,FamouseBrand,BrandStore,1338
181,Gold,Earrings,38,NationalBrand,DiscountStore,365
182,Diamond,Ring,50,NationalBrand,BrandStore,1273
183,Gold,Brace,17,NationalBrand,BrandStore,485
184,Silver,Neckless,35,NationalBrand,DiscountStore,109
185,Gold,Ring,31,WorldTopBrand,BrandStore,2246
186,Platinum,Brace,48,WorldTopBrand,DepartmentStore,3497
187,Diamond,Ring,59,WorldTopBrand,DepartmentStore,4677
188,Silver,Brooch,27,WorldTopBrand,BrandStore,617
189,Gold,Earrings,38,FamouseBrand,BrandStore,1271
190,Silver,Brooch,34,NoBrand,DepartmentStore,72
191,Silver,Earrings,39,NationalBrand,DepartmentStore,150
192,Silver,Brooch,12,NationalBrand,DiscountStore,75
193,Diamond,Earrings,16,FamouseBrand,BrandStore,1934
194,Diamond,Brace,18,NationalBrand,BrandStore,987
195,Platinum,Earrings,29,NoBrand,DepartmentStore,347
196,Silver,Neckless,58,NationalBrand,DepartmentStore,170
197,Silver,Brooch,55,NationalBrand,DiscountStore,120
198,Gold,Neckless,43,FamouseBrand,BrandStore,1341
199,Gold,Brace,26,NationalBrand,DiscountStore,359
200,Diamond,Earrings,24,WorldTopBrand,DepartmentStore,3505
201,Gold,Neckless,13,NationalBrand,DiscountStore,266
202,Gold,Neckless,47,NationalBrand,DiscountStore,395
203,Silver,Brace,47,NationalBrand,BrandStore,196
204,Platinum,Brace,47,NoBrand,DiscountStore,317
205,Diamond,Neckless,55,NationalBrand,DiscountStore,819
206,Platinum,Brace,56,NoBrand,DepartmentStore,454
207,Silver,Brooch,59,WorldTopBrand,DepartmentStore,671
208,Silver,Earrings,34,NationalBrand,DiscountStore,106
209,Silver,Ring,50,FamouseBrand,BrandStore,428
210,Platinum,Brace,25,NationalBrand,BrandStore,820
211,Platinum,Brace,14,WorldTopBrand,DepartmentStore,2410
212,Diamond,Brooch,52,FamouseBrand,DepartmentStore,2443
213,Silver,Neckless,41,NoBrand,DepartmentStore,77
214,Silver,Earrings,58,NationalBrand,BrandStore,189
215,Platinum,Brace,16,NationalBrand,DepartmentStore,629
216,Gold,Earrings,15,WorldTopBrand,BrandStore,1708
217,Gold,Earrings,15,WorldTopBrand,DepartmentStore,1516
218,Diamond,Brooch,30,WorldTopBrand,BrandStore,4243
219,Gold,Brace,29,NoBrand,DiscountStore,186
220,Diamond,Brooch,43,WorldTopBrand,DepartmentStore,4139
221,Platinum,Brooch,33,FamouseBrand,BrandStore,1837
222,Platinum,Earrings,26,NationalBrand,DepartmentStore,671
223,Gold,Brace,47,FamouseBrand,DepartmentStore,1300
224,Diamond,Brace,19,NoBrand,DepartmentStore,442
225,Silver,Earrings,38,FamouseBrand,BrandStore,381
226,Silver,Neckless,28,FamouseBrand,DepartmentStore,315
227,Platinum,Brooch,10,FamouseBrand,BrandStore,1220
228,Silver,Brace,30,FamouseBrand,DepartmentStore,346
229,Silver,Earrings,54,WorldTopBrand,DepartmentStore,657
230,Platinum,Brace,22,WorldTopBrand,DepartmentStore,2797
231,Diamond,Earrings,31,NationalBrand,DiscountStore,694
232,Gold,Brooch,32,NationalBrand,DiscountStore,350
233,Diamond,Earrings,41,NationalBrand,BrandStore,1158
234,Gold,Earrings,52,NoBrand,DepartmentStore,271
235,Gold,Earrings,13,NationalBrand,BrandStore,405
236,Silver,Earrings,58,NationalBrand,DepartmentStore,167
237,Diamond,Earrings,30,WorldTopBrand,BrandStore,4225
238,Gold,Neckless,51,WorldTopBrand,DepartmentStore,2194
239,Silver,Earrings,34,NationalBrand,BrandStore,164
240,Silver,Earrings,53,NationalBrand,DepartmentStore,163
241,Diamond,Earrings,24,NationalBrand,BrandStore,986
242,Silver,Ring,33,WorldTopBrand,DepartmentStore,605
243,Gold,Ring,45,FamouseBrand,DepartmentStore,1228
244,Gold,Brace,55,FamouseBrand,BrandStore,1536
245,Silver,Brace,22,WorldTopBrand,DepartmentStore,556
246,Diamond,Ring,14,NationalBrand,DiscountStore,555
247,Diamond,Brooch,38,NoBrand,DiscountStore,366
248,Silver,Earrings,19,NationalBrand,DiscountStore,89
249,Diamond,Ring,31,FamouseBrand,DepartmentStore,2215
250,Diamond,Brooch,51,FamouseBrand,BrandStore,2753
251,Silver,Brooch,40,NationalBrand,DepartmentStore,151
252,Diamond,Earrings,11,WorldTopBrand,BrandStore,3001
253,Diamond,Earrings,22,FamouseBrand,DepartmentStore,1923
254,Platinum,Brace,23,NationalBrand,DepartmentStore,706
255,Silver,Earrings,45,WorldTopBrand,BrandStore,710
256,Gold,Ring,57,NationalBrand,DepartmentStore,580
257,Platinum,Ring,47,FamouseBrand,BrandStore,2120
258,Platinum,Neckless,52,NationalBrand,BrandStore,937
259,Platinum,Brace,45,FamouseBrand,BrandStore,2190
260,Platinum,Earrings,59,WorldTopBrand,DepartmentStore,3354
261,Diamond,Brace,10,NoBrand,DiscountStore,257
262,Gold,Brooch,14,FamouseBrand,DepartmentStore,815
263,Silver,Earrings,30,NationalBrand,DiscountStore,102
264,Gold,Brace,50,WorldTopBrand,BrandStore,2663
265,Platinum,Brace,45,NationalBrand,DiscountStore,628
266,Gold,Brooch,55,NoBrand,DiscountStore,201
267,Gold,Earrings,42,WorldTopBrand,BrandStore,2318
268,Diamond,Ring,48,FamouseBrand,DepartmentStore,2503
269,Platinum,Brooch,58,WorldTopBrand,DepartmentStore,3345
270,Diamond,Brooch,47,NationalBrand,DiscountStore,774
271,Diamond,Neckless,11,NoBrand,DiscountStore,246
272,Diamond,Neckless,10,NoBrand,DepartmentStore,323
273,Silver,Brace,24,WorldTopBrand,DepartmentStore,578
274,Gold,Neckless,26,NoBrand,DiscountStore,166
275,Silver,Earrings,49,WorldTopBrand,DepartmentStore,642
276,Gold,Earrings,16,FamouseBrand,DepartmentStore,859
277,Gold,Neckless,59,WorldTopBrand,DepartmentStore,2282
278,Silver,Earrings,27,WorldTopBrand,DepartmentStore,546
279,Diamond,Brooch,34,WorldTopBrand,BrandStore,4408
280,Diamond,Brooch,34,NationalBrand,DiscountStore,712
281,Platinum,Ring,22,NoBrand,DiscountStore,244
282,Silver,Ring,51,NoBrand,DepartmentStore,84
283,Silver,Brooch,26,WorldTopBrand,BrandStore,607
284,Platinum,Ring,53,FamouseBrand,DepartmentStore,1924
285,Gold,Neckless,30,NoBrand,DepartmentStore,237
286,Platinum,Brace,24,NationalBrand,BrandStore,812
287,Diamond,Neckless,32,FamouseBrand,DepartmentStore,2175
288,Gold,Earrings,54,NationalBrand,BrandStore,619
289,Gold,Ring,14,FamouseBrand,DepartmentStore,869
290,Diamond,Brooch,51,NationalBrand,BrandStore,1223
291,Diamond,Brooch,12,WorldTopBrand,DepartmentStore,2726
292,Gold,Neckless,57,FamouseBrand,DepartmentStore,1271
293,Diamond,Earrings,22,WorldTopBrand,BrandStore,3851
294,Silver,Earrings,35,WorldTopBrand,BrandStore,664
295,Diamond,Neckless,19,FamouseBrand,BrandStore,2113
296,Silver,Earrings,11,NoBrand,DiscountStore,37
297,Platinum,Neckless,20,FamouseBrand,BrandStore,1617
298,Gold,Earrings,59,NoBrand,DiscountStore,205
299,Diamond,Brooch,37,WorldTopBrand,DepartmentStore,3981
300,Silver,Neckless,58,FamouseBrand,DepartmentStore,382
301,Diamond,Ring,24,NoBrand,DiscountStore,336
302,Gold,Ring,33,WorldTopBrand,BrandStore,2290
303,Diamond,Brooch,46,NoBrand,DepartmentStore,526
304,Gold,Neckless,53,FamouseBrand,DepartmentStore,1246
305,Gold,Neckless,31,NoBrand,DiscountStore,176
306,Gold,Neckless,17,FamouseBrand,DepartmentStore,905
307,Silver,Brooch,55,WorldTopBrand,DepartmentStore,659
308,Platinum,Neckless,34,NoBrand,DepartmentStore,371
309,Diamond,Earrings,41,FamouseBrand,DepartmentStore,2299
310,Gold,Ring,22,NationalBrand,DiscountStore,325
311,Gold,Neckless,11,NoBrand,DepartmentStore,168
312,Silver,Earrings,14,WorldTopBrand,BrandStore,496
313,Gold,Brace,15,FamouseBrand,BrandStore,1034
314,Silver,Ring,15,NationalBrand,DiscountStore,87
315,Silver,Neckless,32,NationalBrand,BrandStore,165
316,Silver,Neckless,42,NationalBrand,BrandStore,177
317,Diamond,Neckless,29,NoBrand,DiscountStore,344
318,Silver,Ring,35,NationalBrand,DiscountStore,112
319,Gold,Neckless,54,FamouseBrand,DepartmentStore,1256
320,Gold,Brace,22,NationalBrand,DiscountStore,340
321,Diamond,Brooch,18,NationalBrand,DiscountStore,584
322,Diamond,Earrings,36,NationalBrand,BrandStore,1119
323,Platinum,Ring,21,NoBrand,DiscountStore,243
324,Silver,Earrings,30,WorldTopBrand,DepartmentStore,562
325,Platinum,Brace,50,NoBrand,DepartmentStore,440
326,Silver,Earrings,30,NationalBrand,DepartmentStore,140
327,Diamond,Neckless,23,NationalBrand,BrandStore,997
328,Silver,Ring,32,WorldTopBrand,BrandStore,678
329,Platinum,Brace,12,FamouseBrand,DepartmentStore,1278
330,Gold,Brooch,24,NoBrand,DepartmentStore,219
331,Diamond,Neckless,15,WorldTopBrand,BrandStore,3496
332,Silver,Neckless,12,WorldTopBrand,BrandStore,472
333,Diamond,Brace,34,NationalBrand,DiscountStore,778
334,Silver,Neckless,45,NationalBrand,DiscountStore,117
335,Gold,Ring,32,FamouseBrand,BrandStore,1272
336,Platinum,Brace,45,FamouseBrand,DepartmentStore,1929
337,Platinum,Neckless,33,NoBrand,DepartmentStore,368
338,Silver,Earrings,38,NoBrand,DiscountStore,54
339,Silver,Neckless,22,WorldTopBrand,DepartmentStore,522
340,Silver,Earrings,48,WorldTopBrand,DepartmentStore,638
341,Platinum,Brace,53,WorldTopBrand,DepartmentStore,3573
342,Diamond,Earrings,49,NoBrand,DepartmentStore,534
343,Silver,Brace,23,NationalBrand,DiscountStore,103
344,Platinum,Ring,15,NoBrand,DiscountStore,215
345,Gold,Earrings,15,WorldTopBrand,DepartmentStore,1484
346,Platinum,Ring,40,NoBrand,DepartmentStore,397
347,Silver,Earrings,48,NationalBrand,DiscountStore,116
348,Silver,Brace,35,NationalBrand,DiscountStore,117
349,Diamond,Brace,43,NoBrand,DiscountStore,414
350,Silver,Ring,32,NoBrand,DiscountStore,54
351,Diamond,Brace,50,WorldTopBrand,DepartmentStore,4689
352,Silver,Earrings,22,NationalBrand,DiscountStore,93
353,Platinum,Earrings,46,WorldTopBrand,DepartmentStore,3144
354,Diamond,Earrings,21,FamouseBrand,BrandStore,2151
355,Platinum,Neckless,57,NationalBrand,DepartmentStore,846
356,Silver,Ring,46,FamouseBrand,BrandStore,420
357,Platinum,Earrings,21,FamouseBrand,DepartmentStore,1413
358,Gold,Neckless,39,FamouseBrand,DepartmentStore,1150
359,Silver,Ring,28,WorldTopBrand,DepartmentStore,578
360,Diamond,Ring,47,WorldTopBrand,BrandStore,5006
361,Diamond,Brooch,13,WorldTopBrand,DepartmentStore,2850
362,Silver,Earrings,46,NationalBrand,DiscountStore,115
363,Diamond,Brace,21,WorldTopBrand,BrandStore,4189
364,Gold,Neckless,58,WorldTopBrand,BrandStore,2574
365,Diamond,Earrings,37,NationalBrand,DiscountStore,727
366,Silver,Ring,48,NoBrand,DepartmentStore,83
367,Gold,Neckless,25,NationalBrand,DiscountStore,332
368,Gold,Earrings,17,NoBrand,DiscountStore,143
369,Platinum,Ring,45,NationalBrand,BrandStore,932
370,Gold,Neckless,17,WorldTopBrand,DepartmentStore,1608
371,Platinum,Earrings,29,FamouseBrand,DepartmentStore,1569
372,Platinum,Brooch,16,NoBrand,DiscountStore,210
373,Diamond,Neckless,29,FamouseBrand,BrandStore,2410
374,Silver,Brooch,33,WorldTopBrand,BrandStore,654
375,Platinum,Ring,57,FamouseBrand,BrandStore,2216
376,Gold,Ring,43,NoBrand,DepartmentStore,269
377,Diamond,Brooch,35,FamouseBrand,DepartmentStore,2193
378,Platinum,Ring,16,NoBrand,DiscountStore,221
379,Silver,Brace,10,NationalBrand,DiscountStore,78
380,Platinum,Brooch,15,NationalBrand,BrandStore,640
381,Gold,Neckless,17,NationalBrand,DiscountStore,290
382,Silver,Brooch,15,NationalBrand,BrandStore,126
383,Diamond,Brooch,54,FamouseBrand,DepartmentStore,2457
384,Diamond,Ring,52,NoBrand,DepartmentStore,566
385,Silver,Brace,10,WorldTopBrand,BrandStore,479
386,Silver,Brooch,33,NationalBrand,BrandStore,163
387,Platinum,Neckless,14,NoBrand,DepartmentStore,280
388,Platinum,Brace,25,NationalBrand,BrandStore,827
389,Diamond,Earrings,28,NoBrand,DiscountStore,335
390,Silver,Brooch,23,WorldTopBrand,DepartmentStore,519
391,Silver,Neckless,53,NoBrand,DiscountStore,61
392,Silver,Brooch,48,NationalBrand,DiscountStore,116
393,Platinum,Brace,12,NationalBrand,BrandStore,635
394,Diamond,Earrings,24,NoBrand,DiscountStore,319
395,Diamond,Brace,56,WorldTopBrand,BrandStore,5488
396,Gold,Earrings,22,WorldTopBrand,DepartmentStore,1700
397,Gold,Earrings,35,WorldTopBrand,DepartmentStore,1945
398,Diamond,Brooch,14,NoBrand,DiscountStore,267
399,Platinum,Earrings,41,NoBrand,DepartmentStore,381
400,Platinum,Neckless,53,NationalBrand,DiscountStore,610
401,Platinum,Brace,58,NoBrand,DiscountStore,335
402,Platinum,Brooch,37,FamouseBrand,BrandStore,1901
403,Diamond,Brooch,39,NationalBrand,DiscountStore,738
404,Platinum,Earrings,41,NationalBrand,BrandStore,865
405,Gold,Brace,55,FamouseBrand,DepartmentStore,1356
406,Diamond,Brooch,26,NationalBrand,DepartmentStore,897
407,Silver,Neckless,17,FamouseBrand,BrandStore,306
408,Gold,Brace,17,NationalBrand,BrandStore,486
409,Diamond,Neckless,36,WorldTopBrand,DepartmentStore,4025
410,Diamond,Brace,39,NationalBrand,DiscountStore,808
411,Platinum,Ring,13,FamouseBrand,DepartmentStore,1253
412,Platinum,Earrings,57,FamouseBrand,BrandStore,2118
413,Platinum,Earrings,23,FamouseBrand,BrandStore,1652
414,Silver,Earrings,29,FamouseBrand,DepartmentStore,311
415,Silver,Earrings,29,WorldTopBrand,DepartmentStore,554
416,Silver,Ring,50,WorldTopBrand,BrandStore,762
417,Platinum,Brace,55,WorldTopBrand,BrandStore,4096
418,Platinum,Brace,47,FamouseBrand,BrandStore,2216
419,Platinum,Brooch,49,NationalBrand,DiscountStore,585
420,Silver,Brace,24,FamouseBrand,DepartmentStore,322
421,Diamond,Brooch,55,FamouseBrand,BrandStore,2807
422,Gold,Brooch,53,NationalBrand,DepartmentStore,545
423,Platinum,Brace,58,NoBrand,DiscountStore,335
424,Silver,Brooch,21,FamouseBrand,DepartmentStore,282
425,Platinum,Ring,24,NoBrand,DepartmentStore,344
426,Platinum,Ring,13,NationalBrand,DepartmentStore,560
427,Platinum,Brooch,51,NoBrand,DepartmentStore,404
428,Silver,Neckless,14,WorldTopBrand,DepartmentStore,445
429,Diamond,Earrings,27,NoBrand,DiscountStore,331
430,Gold,Neckless,42,FamouseBrand,BrandStore,1336
431,Platinum,Brooch,42,FamouseBrand,DepartmentStore,1736
432,Gold,Neckless,50,NationalBrand,DiscountStore,400
433,Silver,Brace,31,NoBrand,DiscountStore,57
434,Gold,Brooch,20,NationalBrand,DiscountStore,303
435,Silver,Ring,35,FamouseBrand,DepartmentStore,344
436,Platinum,Brooch,57,NationalBrand,DepartmentStore,829
437,Silver,Earrings,59,FamouseBrand,DepartmentStore,377
438,Platinum,Brace,53,NoBrand,DepartmentStore,446
439,Platinum,Ring,55,NationalBrand,DepartmentStore,862
440,Gold,Earrings,24,NoBrand,DepartmentStore,217
441,Platinum,Earrings,57,NationalBrand,DepartmentStore,829
442,Gold,Earrings,41,NationalBrand,BrandStore,576
443,Silver,Earrings,34,WorldTopBrand,BrandStore,658
444,Platinum,Earrings,33,NoBrand,DiscountStore,264
445,Silver,Ring,14,WorldTopBrand,BrandStore,515
446,Diamond,Neckless,49,NoBrand,DiscountStore,398
447,Diamond,Brace,19,FamouseBrand,DepartmentStore,2008
448,Platinum,Earrings,10,NationalBrand,BrandStore,556
449,Silver,Ring,49,FamouseBrand,BrandStore,426
450,Diamond,Earrings,41,WorldTopBrand,BrandStore,4611
451,Diamond,Brace,24,NationalBrand,BrandStore,1089
452,Silver,Brace,26,NoBrand,DiscountStore,54
453,Diamond,Earrings,11,FamouseBrand,BrandStore,1700
454,Gold,Neckless,42,NationalBrand,DepartmentStore,521
455,Platinum,Brooch,46,NationalBrand,DiscountStore,577
456,Silver,Neckless,41,FamouseBrand,DepartmentStore,349
457,Platinum,Brace,58,WorldTopBrand,BrandStore,4144
458,Platinum,Ring,45,NationalBrand,BrandStore,927
459,Gold,Brooch,48,WorldTopBrand,BrandStore,2404
460,Platinum,Brace,11,WorldTopBrand,DepartmentStore,2219
461,Gold,Brooch,43,NationalBrand,BrandStore,584
462,Platinum,Brooch,28,WorldTopBrand,DepartmentStore,2740
463,Gold,Earrings,22,NoBrand,DepartmentStore,211
